id;code;name;description
1;Birr Mobility Enhanced;Agent;Dakota mesh
2;dot-com;withdrawal;override
3;Practical enterprise Wyoming;Shilling;Pants Automotive
4;Gloves;Steel Computer;Program deposit
5;open bypassing Roads;cyan;granular
6;Dram Quality invoice;primary executive Plastic;Streamlined Dollar methodical
7;Group;Sausages;Salad
8;Central;Maryland;Automotive payment model
9;Awesome Dynamic deposit;stable;HTTP Metal
10;synergy connect Berkshire;application Market;Business-focused proactive middleware
