id;code;name;description
1;Manat alarm Borders;emulation deposit;Senegal Views
2;monitor Account Bahamian;Rubber Optimization Reverse-engineered;Quality Estate
3;Supervisor maroon pink;Enterprise-wide global lime;help-desk Toys
4;extranet contingency Granite;Games;transmitting incremental Ergonomic
5;9(E.U.A.-9) impactful;Corporate;tertiary
6;copy Specialist Checking;Plastic cross-platform solid;navigating Ohio
7;index California indexing;overriding hacking;Wooden Pizza connect
8;Account collaborative deposit;Card;neural USB wireless
9;Overpass;indigo Pound bluetooth;capacity Street Colon
10;back-end hub;transitional;purple Gorgeous
